DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;6903705;2020-10-14;IRIDIUM;APEX;SBE41CP_V7.2.5;10079;J. Haapala;Argo-Finland;A;033;_;-;033;_;-
coriolis;6903765;2019-10-25;IRIDIUM;ARVOR;SBE41CP;11709;Pierre-Marie Poulain;ARGO Italy;A;084;_;-;084;_;-
coriolis;6903766;2019-12-02;IRIDIUM;ARVOR;SBE41CP;41-11572;Pierre-Marie Poulain;Argo Italy;A;076;_;-;_;_;-
coriolis;6903767;2020-01-09;IRIDIUM;ARVOR;SBE41CP;11705;Pierre-Marie Poulain;Argo Italy;A;034;_;-;034;_;-
coriolis;6903768;2020-01-09;IRIDIUM;ARVOR;SBE41CP;11707;Pierre-Marie Poulain;Argo Italy;A;034;_;-;034;_;-
coriolis;6903769;2020-01-10;IRIDIUM;ARVOR;SBE41CP;41-11715;Pierre-Marie Poulain;Argo Italy;A;034;_;-;_;_;-
coriolis;6903770;2020-01-10;IRIDIUM;ARVOR;SBE41CP;41-11719;Pierre-Marie Poulain;Argo Italy;A;034;_;-;_;_;-
coriolis;6903771;2020-01-10;IRIDIUM;ARVOR;SBE41CP;41-11708;Pierre-Marie Poulain;Argo Italy;A;034;_;-;_;_;-
coriolis;6903772;2020-01-28;IRIDIUM;ARVOR;SBE41CP;41-11710;Pierre-Marie Poulain;Argo Italy;A;065;_;-;_;_;-
coriolis;6903773;2020-01-28;IRIDIUM;ARVOR;SBE41CP;41-11712;Pierre-Marie Poulain;Argo Italy;NA;008;_;-;_;_;-
coriolis;6903774;2020-02-17;IRIDIUM;ARVOR;SBE41CP;41-11783;Pierre-Marie Poulain;Argo Italy;NA;010;_;-;_;_;-
coriolis;6903775;2020-02-17;IRIDIUM;ARVOR;SBE41CP;41-11772;Pierre-Marie Poulain;Argo Italy;NA;009;_;-;_;_;-
coriolis;6903776;2020-02-17;IRIDIUM;ARVOR;SBE41CP;41-11716;Pierre-Marie Poulain;Argo Italy;NA;009;_;-;_;_;-
coriolis;6903777;2020-02-18;IRIDIUM;ARVOR;SBE41CP;11571;Pierre-Marie Poulain;Argo Italy;NA;028;_;-;028;_;-
